id,feature1,feature2,feature3,label
86,75.0101,0.65242,56,1
87,20.3127,0.228245,207,0
88,78.4622,0.811821,212,0
89,1.3915,0.540437,447,0
90,73.1953,0.267892,180,1
91,73.0073,0.460219,438,1
92,87.4702,0.223897,447,0
93,51.2734,0.42836,7,1
94,47.1923,0.355852,229,0
95,90.5913,0.903963,93,0
96,96.5949,0.102616,238,0
97,47.3722,0.003045,131,1
98,7.0519,0.252913,353,1
99,4.3299,0.357782,138,1
100,34.4017,0.937805,448,0
101,76.3222,0.580461,291,0
102,15.7233,0.962543,85,0
103,38.4857,0.593332,26,1
104,32.2807,0.508991,141,1
105,50.2465,0.632508,7,0
106,19.9995,0.896905,129,0
107,70.7383,0.200662,68,0
108,73.9536,0.711259,480,0
109,65.5594,0.433258,119,0
110,68.5444,0.125282,127,0
111,53.3784,0.997328,95,0
112,48.8504,0.906029,239,1
113,79.0655,0.682119,35,1
114,96.9282,0.914713,369,0
115,28.2644,0.43146,345,1
116,80.942,0.724798,156,0
117,51.3207,0.80948,310,0
118,15.9032,0.632103,244,0
119,90.8727,0.188918,445,1
120,79.4157,0.458758,278,1
121,46.3647,0.664093,175,0
122,71.294,0.704338,268,0
123,9.7326,0.926562,51,0
124,42.751,0.631622,252,0
125,68.2171,0.275433,145,0
126,54.042,0.869849,12,0
127,24.3994,0.457311,428,0
128,64.8847,0.750452,434,1
129,74.2002,0.209711,233,0
130,19.9851,0.763763,67,1
131,71.2035,0.476496,411,0
132,65.8108,0.406208,349,1
133,68.9988,0.654319,472,0
134,92.6633,0.061194,397,1
135,27.4349,0.067579,442,0
136,96.2002,0.038877,355,0
137,70.6133,0.450793,178,1
138,8.6511,0.8345,466,1
139,67.5675,0.015702,282,1
140,67.281,0.99181,370,1
141,43.7859,0.771839,174,1
142,74.3586,0.264995,494,0
143,0.906,0.320972,436,1
144,10.8548,0.009424,435,1
145,89.6936,0.381584,442,1
146,23.3433,0.805136,292,1
147,2.4548,0.546757,65,1
148,95.485,0.035517,273,1
149,75.0232,0.654659,361,1
150,50.3805,0.090883,4,1
151,93.6196,0.736669,160,1
152,53.0135,0.656472,356,0
153,98.5989,0.598534,411,0
154,23.448,0.359405,461,0
155,2.1228,0.478082,60,0
156,29.8949,0.683045,264,1
157,20.2083,0.891843,442,0
158,75.9587,0.602876,237,0
159,80.3043,0.194827,438,1
160,80.8888,0.191281,477,0
161,4.0859,0.620467,499,1
162,56.6134,0.944929,399,0
163,9.158,0.709597,165,1
164,79.2149,0.148417,58,1
165,62.512,0.379229,109,0
166,74.1871,0.832756,71,1
167,93.5222,0.710966,112,0
168,93.5024,0.702718,499,0
169,10.665,0.040486,168,1
170,86.432,0.095708,177,1
171,82.9104,0.234036,2,1
172,63.8637,0.823309,175,0
173,28.064,0.658464,184,0
174,73.1914,0.920247,78,0
175,16.7401,0.711014,237,0
176,50.0488,0.088236,177,1
177,69.5873,0.789194,299,0
178,1.5851,0.790387,464,0
179,38.7149,0.136322,176,0
180,31.189,0.920979,471,0
181,35.282,0.796106,128,0
182,80.5977,0.423332,399,1
183,36.0241,0.437896,187,0
184,24.9347,0.846073,224,1
185,33.3467,0.810281,428,0
186,70.0725,0.360903,496,0
187,40.5944,0.281905,281,1
188,85.7407,0.97195,334,1
189,11.0208,0.787931,334,0
190,31.2567,0.385847,243,0
191,5.785,0.933623,59,1
192,78.9084,0.924408,104,1
193,0.8153,0.907668,321,0
194,49.12,0.81886,238,0
195,50.8561,0.018352,174,1
196,1.9917,0.773016,461,0
197,67.5979,0.467562,353,0
198,85.7896,0.300577,306,0
199,66.2627,0.507615,67,1
200,80.9232,0.436072,379,1
201,5.1625,0.550961,161,1
202,55.2404,0.122722,5,1
203,87.1231,0.352373,52,0
204,84.2986,0.523076,350,0
205,19.1885,0.604402,114,0
206,33.2079,0.824709,405,0
207,5.8088,0.005875,167,1
208,34.8692,0.10315,112,0
209,12.7735,0.033784,368,0
210,86.3223,0.517309,32,0
211,9.8571,0.361858,437,1
212,64.3786,0.735365,358,1
213,98.0921,0.618797,317,0
214,58.8259,0.994067,74,0
215,44.2765,0.941153,424,1
216,85.4215,0.070879,419,1
217,0.5263,0.186626,407,1
218,4.3265,0.054706,48,0
219,69.8743,0.595549,87,1
220,36.155,0.442262,130,0
221,53.8742,0.24933,252,0
222,14.2604,0.708953,400,1
223,97.4123,0.979094,386,0
224,92.1921,0.766088,187,0
225,46.4022,0.534308,445,1
226,81.668,0.218931,263,1
227,21.035,0.34688,392,0
228,37.4964,0.941492,452,1
229,62.0908,0.533971,500,1
230,53.521,0.299354,311,0
231,67.1745,0.241512,157,1
232,70.8562,0.025878,268,0
233,13.674,0.208668,232,1
234,44.0437,0.773535,310,1
235,64.5771,0.547124,478,1
236,35.6931,0.997093,69,0
237,43.7106,0.059005,378,1
238,99.5587,0.270522,268,1
239,49.7998,0.509244,120,1
240,61.4673,0.85735,22,1
241,95.8884,0.519491,124,1
242,90.22,0.243126,194,0
243,25.2797,0.716718,127,1
244,28.2131,0.924802,475,0
245,36.9294,0.392048,481,0
246,98.6708,0.555137,317,1
247,70.0067,0.389538,495,0
248,19.4988,0.775819,73,0
249,12.335,0.317,440,1
250,81.4871,0.093519,157,0
251,27.3088,0.76804,6,0
252,63.1604,0.207911,170,0
253,61.5359,0.724248,132,1
254,46.6771,0.671345,440,1
255,22.2266,0.286522,240,1
256,38.523,0.217916,350,0
257,19.013,0.358935,35,1
258,81.8625,0.966064,170,1
259,3.2363,0.180565,22,1
260,33.5713,0.369042,121,0
261,17.9548,0.453704,124,1
262,93.1655,0.931131,139,1
263,3.7738,0.700733,355,0
264,32.8769,0.05821,159,1
265,44.9494,0.856437,49,0
266,12.7276,0.532371,265,1
267,1.9433,0.207495,42,0
268,85.823,0.299598,478,0
269,18.5752,0.545234,245,1
270,67.9616,0.782311,165,0
271,97.0448,0.320501,384,1
272,96.3007,0.373896,383,0
273,85.4711,0.269633,460,0
274,98.0469,0.608151,370,1
275,96.0116,0.624765,157,0
276,16.044,0.844811,80,0
277,96.9906,0.423075,89,1
278,61.9422,0.753171,249,1
279,95.3853,0.804515,467,1
280,93.7036,0.263017,426,1
281,15.6794,0.65993,238,0
282,73.9242,0.730956,204,0
283,29.2492,0.833044,109,0
284,51.9905,0.832472,403,0
285,15.0079,0.428624,335,0
286,84.0072,0.239706,467,0
287,70.2151,0.512806,183,1
288,56.1398,0.93533,272,0
289,71.641,0.742198,155,0
290,26.7643,0.78263,23,0
291,35.0905,0.202399,374,0
292,21.6653,0.050177,15,1
293,70.1081,0.902098,6,1
294,64.7873,0.687622,30,1
295,85.0981,0.098943,334,0
296,44.2991,0.454116,159,0
297,46.4299,0.476892,437,0
298,93.9336,0.851879,287,0
299,89.6535,0.551842,211,1
300,91.2778,0.801622,361,1
301,80.6038,0.020811,379,1
302,78.9907,0.40673,248,1
303,65.2524,0.035586,378,1
304,9.4312,0.137897,223,0
305,89.2052,0.117429,136,0
306,7.8643,0.241347,449,1
307,80.6102,0.457182,261,0
308,26.4842,0.14466,27,0
309,10.4693,0.743721,19,1
310,40.0452,0.706751,13,1
311,95.1257,0.05502,132,1
312,16.4153,0.33221,297,1
313,98.7534,0.157681,128,1
314,0.5438,0.59286,367,0
315,70.6694,0.314698,116,0
316,56.5083,0.439043,18,0
317,82.5391,0.432787,114,0
318,24.4482,0.051879,48,0
319,95.3616,0.071067,490,0
320,55.2146,0.036183,34,0
321,28.3959,0.589141,147,0
322,13.4507,0.852999,296,0
323,92.0027,0.217629,282,0
324,79.6208,0.097156,204,0
325,77.1718,0.487261,247,1
326,66.0654,0.493598,238,1
327,42.2563,0.438427,407,1
328,60.9146,0.213195,323,1
329,50.6327,0.050909,14,0
330,72.7037,0.831096,370,0
331,95.3351,0.119035,448,0
332,16.7982,0.501803,55,1
333,81.4571,0.302627,311,0
334,3.1417,0.682341,150,1
335,34.8993,0.540255,270,1
336,92.4493,0.825745,322,1
337,61.4716,0.542906,373,0
338,31.5237,0.950351,305,1
339,17.3981,0.610077,114,1
340,67.0251,0.091669,450,1
341,84.8187,0.359006,100,1
342,86.3219,0.175921,70,1
343,57.7507,0.328477,323,0
344,54.6296,0.775802,98,0
345,78.3987,0.193779,315,0
346,54.2328,0.333273,372,0
347,68.2681,0.506987,90,0
348,75.5958,0.857891,180,0
349,77.9031,0.154519,80,0
350,21.1882,0.741647,173,0
351,80.8749,0.68101,390,0
352,14.0456,0.274022,36,1
353,27.5155,0.624764,348,1
354,27.7054,0.069355,273,0
355,86.5336,0.335492,236,0
356,14.8246,0.692817,153,1
357,26.0123,0.178409,16,0
358,88.3117,0.033888,116,1
359,41.2191,0.928845,173,1
360,61.4635,0.200369,407,1
361,34.9535,0.027672,139,1
362,30.2862,0.492473,51,0
363,86.0471,0.596544,423,1
364,58.8001,0.937357,33,0
365,58.6491,0.054386,93,1
366,33.3379,0.692154,53,1
367,62.1494,0.344182,56,0
368,80.5211,0.680263,178,1
369,10.931,0.932612,323,0
370,97.4782,0.025656,192,0
371,76.0375,0.269614,125,1
372,79.6405,0.942379,200,1
373,64.6898,0.06447,22,1
374,34.1088,0.258183,87,0
375,80.7419,0.784603,459,1
376,19.3191,0.317974,299,0
377,80.1498,0.738114,272,0
378,48.9097,0.35338,475,1
379,49.3872,0.480326,205,0
380,39.8486,0.273596,235,0
381,84.9847,0.532124,82,1
382,31.1202,0.959478,25,0
383,95.2511,0.513614,66,1
384,27.8301,0.110983,191,1
385,94.6653,0.684523,248,0
386,88.9797,0.585161,229,0
387,52.0267,0.731701,353,0
388,77.8679,0.856415,466,1
389,91.675,0.890029,359,0
390,25.8074,0.559745,181,1
391,56.1012,0.168525,492,0
392,48.2485,0.539022,431,0
393,65.7261,0.851504,237,1
394,21.1989,0.958694,170,1
395,38.4125,0.851363,346,0
396,0.8678,0.547183,483,0
397,40.3969,0.955814,242,1
398,59.2952,0.247902,458,0
399,70.9499,0.06853,396,1
400,31.8485,0.620314,432,0
401,60.2279,0.094691,114,1
402,43.8252,0.896752,153,0
403,15.3272,0.192841,340,1
404,73.0949,0.110953,378,0
405,20.6977,0.716801,32,0
406,12.6695,0.562503,356,1
407,5.8394,0.440698,91,0
408,93.6576,0.635193,78,0
409,52.2322,0.867304,403,0
410,37.2284,0.815513,188,0
411,51.9763,0.568508,258,1
412,91.1142,0.74466,301,1
413,73.3414,0.742351,382,0
414,61.5883,0.343705,239,0
415,23.602,0.548885,173,1
416,29.0476,0.518847,37,0
417,31.9733,0.677026,154,0
418,70.8476,0.515405,368,1
419,9.982,0.91199,91,1
420,14.153,0.798131,146,0
421,59.058,0.249309,21,0
422,31.4936,0.290653,150,1
423,39.6486,0.67369,267,1
424,41.8917,0.215298,392,1
425,96.0886,0.598639,326,0
426,60.567,0.075038,77,0
427,44.3808,0.945913,146,1
428,86.4323,0.289248,392,0
429,26.9153,0.839581,12,1
430,13.1733,0.638427,416,1
431,98.1941,0.651008,248,0
432,12.1449,0.716233,292,1
433,38.1779,0.344478,386,1
434,63.0962,0.900977,301,1
435,11.1588,0.340134,172,0
436,10.4218,0.508762,404,0
437,16.8222,0.548511,211,1
438,75.9766,0.164381,208,0
439,52.9972,0.976691,123,0
440,75.8149,0.129097,157,1
441,36.4008,0.534332,236,1
442,63.826,0.938571,314,1
443,7.2841,0.145936,177,0
444,62.2974,0.808632,489,0
445,8.1981,0.140516,49,0
446,53.2064,0.841107,294,0
447,28.6503,0.179769,64,0
448,22.8939,0.96814,122,0
449,97.0153,0.538913,276,1
450,67.1294,0.106217,70,0
451,17.4369,0.156406,405,0
452,61.3369,0.595007,200,0
453,87.7478,0.8761,301,0
454,5.4402,0.022836,455,0
455,51.9542,0.907476,392,1
456,67.4535,0.916634,120,0
457,18.8296,0.190858,220,0
458,74.3317,0.065601,11,0
459,39.1901,0.54624,180,1
460,68.4689,0.490901,166,0
461,39.5249,0.521443,459,0
462,46.9334,0.418119,133,1
463,79.4162,0.07388,366,0
464,45.2293,0.928734,470,1
465,47.8525,0.025983,138,0
466,73.6789,0.504105,256,0
467,78.3447,0.872481,445,0
468,80.9908,0.274402,444,0
469,42.0547,0.094659,299,1
470,29.0948,0.05359,481,0
471,74.5758,0.891493,470,1
472,44.5802,0.093995,50,0
473,22.639,0.120868,116,1
474,69.861,0.676979,269,0
475,77.5022,0.562105,329,0
476,24.1521,0.593484,203,0
477,73.5605,0.36064,281,1
478,50.6212,0.30513,338,0
479,52.9075,0.542399,452,1
480,64.8002,0.468011,321,1
481,85.3721,0.621823,456,1
482,52.3638,0.387873,317,1
483,75.2984,0.028256,405,0
484,60.9571,0.281791,16,0
485,59.7856,0.390509,90,0
486,85.9267,0.917255,408,0
487,74.6907,0.979054,193,1
488,23.994,0.529311,87,0
489,9.6512,0.222131,113,1
490,12.6837,0.933372,466,1
491,56.6664,0.769095,153,1
492,89.7276,0.089698,127,0
493,18.9416,0.479819,3,1
494,72.1702,0.23127,129,0
495,14.4762,0.84385,307,0
496,57.5106,0.565279,142,1
497,45.8268,0.622378,220,0
498,98.3431,0.966819,30,0
499,19.4871,0.047334,259,1
500,65.7982,0.446979,190,1
501,87.1959,0.295774,372,1
502,0.2235,0.399101,240,0
503,47.888,0.410044,167,1
504,26.0349,0.757101,463,1
505,62.4327,0.444712,489,0
506,11.0959,0.623872,154,1
507,65.4115,0.105397,167,0
508,12.2716,0.766911,114,0
509,21.2961,0.578024,159,1
510,64.2322,0.736311,295,1
511,63.739,0.934542,389,1
512,24.9435,0.732905,469,0
513,10.5064,0.951034,209,1
514,26.9289,0.628875,492,0
515,74.4114,0.071002,127,0
516,15.3465,0.112023,20,1
517,84.3994,0.584586,53,1
518,44.8707,0.463585,134,1
519,53.8942,0.708961,276,1
520,39.8572,0.116328,219,1
521,4.1148,0.432558,182,1
522,0.4846,0.799048,19,1
523,29.4016,0.948323,482,1
524,90.7927,0.47149,348,1
525,17.93,0.385536,209,0
526,96.3415,0.206921,394,1
527,54.5083,0.373454,241,1
528,38.1719,0.684837,118,0
529,68.1497,0.649419,327,0
530,55.2415,0.629867,102,1
531,33.4184,0.574396,153,1
532,26.9042,0.363607,77,0
533,26.3375,0.38908,125,1
534,15.6694,0.004427,148,1
535,43.5811,0.440076,236,0
536,66.178,0.757423,326,1
537,62.7306,0.847284,191,1
538,3.9501,0.565594,137,0
539,40.9767,0.102203,272,0
540,5.1247,0.628275,193,0
541,53.757,0.970792,158,0
542,43.8455,0.587592,390,0
543,83.249,0.313176,79,1
544,17.7684,0.174295,490,0
545,52.4458,0.918525,58,1
546,60.6488,0.992025,465,1
547,31.7757,0.485634,452,1
548,93.1021,0.131284,104,0
549,62.4021,0.448681,494,1
550,63.7194,0.356265,405,0
551,45.0978,0.252421,7,0
552,60.0895,0.681976,155,0
553,9.4646,0.428848,283,1
554,23.0443,0.743318,440,0
555,76.4056,0.947471,374,1
556,72.6441,0.019789,376,0
557,19.1609,0.892377,74,1
558,72.7232,0.249828,429,0
559,2.2067,0.817443,302,0
560,9.784,0.983237,13,1
561,45.1605,0.466878,94,1
562,51.1504,0.940103,418,1
563,75.5935,0.972294,428,0
564,55.3693,0.343882,359,0
565,8.5272,0.565186,221,1
566,40.6718,0.983935,1,1
567,36.0101,0.319371,310,0
568,22.5491,0.401319,47,0
569,90.7006,0.102405,254,1
570,10.5262,0.173974,323,0
571,38.895,0.797841,359,0
572,15.9791,0.433301,24,1
573,10.4169,0.91001,239,1
574,47.8078,0.100398,458,1
575,88.7688,0.207738,75,1
576,74.9948,0.34774,427,1
577,30.6659,0.707833,249,1
578,40.3367,0.171063,335,1
579,37.9552,0.940642,176,1
580,76.9287,0.501482,259,1
581,66.1544,0.698136,111,0
582,19.9953,0.109796,306,0
583,4.0805,0.3196,149,1
584,50.0931,0.300028,268,0
585,71.1859,0.430006,60,1
586,84.0909,0.57716,16,1
587,55.3619,0.776942,32,1
588,27.9092,0.631718,424,1
589,30.9954,0.299889,194,0
590,21.5719,0.852835,291,0
591,45.3468,0.157585,144,1
592,28.56,0.614709,492,0
593,91.2127,0.720536,24,0
594,43.8292,0.868369,303,1
595,33.0366,0.500464,80,0
596,41.933,0.835758,47,0
597,38.1141,0.613554,313,0
598,26.8065,0.086963,431,1
599,22.7274,0.062543,254,0
600,54.6852,0.206927,41,0
601,68.2772,0.95504,374,0
602,4.9567,0.493096,24,1
603,55.5267,0.091228,212,1
604,27.6695,0.576324,172,1
605,23.7578,0.39534,448,0
606,55.2922,0.284497,49,1
607,85.6585,0.320867,5,1
608,52.2826,0.581001,487,1
609,19.5947,0.735678,90,1
610,11.0605,0.008543,262,1
611,98.7357,0.919619,381,1
612,1.0176,0.278167,84,0
613,94.0086,0.535324,420,1
614,19.9927,0.596291,259,1
615,32.5525,0.551794,164,1
616,9.7102,0.855323,331,0
617,30.7544,0.787751,499,1
618,9.0209,0.555151,407,0
619,85.9922,0.796451,47,1
620,64.7501,0.989714,161,0
621,1.7391,0.037317,108,0
622,20.7127,0.29623,278,0
623,1.4036,0.434674,104,1
624,97.1676,0.816917,383,1
625,96.751,0.332707,424,1
626,41.2733,0.624251,95,0
627,79.7333,0.641171,259,0
628,80.7561,0.237597,167,0
629,34.9435,0.670373,335,0
630,89.3647,0.361724,169,0
631,25.1697,0.040425,268,0
632,57.8373,0.434654,243,1
633,35.827,0.144082,137,0
634,75.9401,0.297182,24,0
635,55.9744,0.957824,114,1
636,53.6545,0.32363,459,0
637,99.5174,0.11695,479,0
638,30.2623,0.179235,83,0
639,1.8017,0.027299,291,0
640,63.8367,0.903726,193,0
641,33.5694,0.963027,152,1
642,67.2078,0.439401,87,0
643,17.8231,0.689925,478,0
644,3.2561,0.964954,484,1
645,24.4494,0.906917,247,1
646,92.368,0.154606,0,0
647,39.6671,0.275321,145,1
648,68.5456,0.561486,75,1
649,15.7806,0.990177,9,1
650,20.7226,0.227391,37,1
651,34.6589,0.238666,44,0
652,34.4415,0.876796,128,1
653,5.1286,0.036739,417,1
654,94.7554,0.106305,201,1
655,96.15,0.274019,9,1
656,48.625,0.980003,408,1
657,71.141,0.067191,338,1
658,20.8534,0.696694,121,0
659,79.3042,0.142819,30,0
660,84.887,0.594378,76,0
661,54.9068,0.564429,146,1
662,68.1332,0.451143,253,1
663,98.7497,0.286072,240,0
664,9.7865,0.742837,471,1
665,60.6407,0.276513,117,1
666,42.779,0.696636,330,1
667,73.546,0.918259,338,1
668,50.4096,0.347105,127,0
669,88.0578,0.612006,178,1
670,20.2336,0.963294,9,0
671,20.8965,0.920008,228,0
672,99.6713,0.141836,252,1
673,66.8478,0.155617,244,0
674,84.5182,0.779819,434,0
675,95.7804,0.067086,454,0
676,70.8652,0.21068,149,0
677,58.2383,0.267161,86,1
678,10.5648,0.831092,408,1
679,1.9302,0.504427,24,0
680,10.4679,0.573058,225,1
681,76.8424,0.411094,298,1
682,95.323,0.845979,14,1
683,65.2511,0.950976,491,0
684,26.5334,0.168662,490,1
685,22.6875,0.839968,391,1
686,63.6229,0.715309,123,1
687,10.4723,0.211973,228,0
688,80.7957,0.527927,86,0
689,47.0054,0.564509,42,1
690,17.7768,0.459554,471,1
691,57.7581,0.266308,101,0
692,42.7829,0.99637,8,0
693,52.3129,0.437685,356,0
694,22.2406,0.755269,393,0
695,34.6768,0.79023,451,0
696,68.4228,0.194721,215,0
697,74.7521,0.793148,471,1
698,41.0687,0.20918,264,0
699,12.9225,0.155552,327,0
700,25.8305,0.026293,110,1
701,74.1145,0.119694,492,0
702,9.9922,0.529292,130,0
703,34.0778,0.296368,468,0
704,16.5646,0.04388,213,1
705,85.7269,0.872517,199,1
706,5.9098,0.165092,313,0
707,59.4547,0.151435,403,0
708,62.1505,0.336768,107,0
709,85.445,0.125152,407,1
710,14.3714,0.710756,72,0
711,96.5132,0.658402,359,0
712,51.5749,0.610749,234,1
713,90.8674,0.015043,50,1
714,69.7104,0.335895,160,1
715,40.4316,0.008239,172,1
716,37.0827,0.55547,456,1
717,26.9239,0.530478,356,0
718,63.1462,0.068457,417,0
719,30.483,0.789935,363,1
720,66.3201,0.714939,73,0
721,9.9341,0.475463,277,0
722,92.9217,0.763647,461,0
723,86.6514,0.171979,471,1
724,52.9678,0.747114,360,0
725,95.2567,0.155843,212,0
726,59.2549,0.22801,253,0
727,85.7531,0.44314,382,0
728,99.445,0.076053,320,0
729,74.108,0.835985,239,0
730,68.0181,0.557199,80,0
731,74.3036,0.100064,4,1
732,70.8515,0.230166,418,0
733,74.5704,0.157816,230,1
734,93.3818,0.291376,6,1
735,92.6589,0.756134,173,1
736,58.2973,0.181529,189,0
737,88.5845,0.144149,53,1
738,76.8388,0.806769,406,1
739,37.3721,0.483103,91,0
740,16.0563,0.559216,169,0
741,78.8275,0.975149,421,0
742,28.9438,0.80358,331,1
743,42.3676,0.186546,277,1
744,62.9655,0.497281,146,1
745,20.8241,0.637358,145,0
746,99.6224,0.500904,92,1
747,42.7832,0.894178,191,0
748,80.7984,0.602498,160,0
749,85.5897,0.860525,126,1
750,89.6642,0.590164,36,1
751,36.1263,0.043309,397,0
752,24.5271,0.191497,393,1
753,27.5333,0.93068,229,1
754,57.486,0.699315,348,0
755,0.8071,0.925987,292,1
756,98.3912,0.007615,126,1
757,23.8407,0.206791,232,0
758,91.3148,0.454719,172,1
759,25.9013,0.299959,248,0
760,86.3743,0.244838,41,0
761,40.3864,0.658809,210,1
762,21.6633,0.727824,346,1
763,52.7682,0.871169,430,1
764,5.6278,0.701522,12,1
765,4.8649,0.191767,479,1
766,16.3672,0.583006,231,0
767,72.768,0.191882,12,0
768,60.1292,0.712956,96,1
769,4.5997,0.044622,163,1
770,78.2891,0.641766,65,0
771,41.7985,0.772517,37,1
772,47.4276,0.419272,349,0
773,3.4845,0.149512,321,0
774,78.7619,0.350107,38,0
775,18.592,0.263226,497,1
776,68.3294,0.323869,186,1
777,21.7825,0.730815,331,0
778,55.0627,0.587094,74,0
779,70.9204,0.837299,221,0
780,61.1131,0.135145,492,0
781,41.7598,0.160218,176,1
782,86.7892,0.84722,35,0
783,86.2824,0.31307,87,1
784,14.9442,0.601508,331,1
785,72.39,0.049836,294,0
786,80.9144,0.034279,247,1
787,18.2369,0.762045,166,0
788,17.7379,0.163123,176,0
789,17.1122,0.372193,25,0
790,83.5153,0.243056,212,1
791,97.0859,0.24282,432,0
792,72.0019,0.073418,419,0
793,67.6353,0.477911,227,0
794,19.4342,0.910175,354,0
795,5.2422,0.074871,243,0
796,46.2307,0.752663,349,1
797,30.2645,0.638676,286,0
798,87.4038,0.183935,393,1
799,70.7372,0.933739,165,1
800,0.3872,0.082016,194,0
801,5.689,0.008502,184,0
802,20.1894,0.838559,137,1
803,58.1589,0.868191,192,0
804,18.5811,0.722219,310,1
805,62.9606,0.061258,220,1
806,32.9829,0.506989,278,0
807,27.1305,0.116629,320,0
808,28.9837,0.859723,117,1
809,1.7251,0.881765,168,1
810,48.4158,0.012299,239,1
811,50.2024,0.41575,344,0
812,76.226,0.695469,82,0
813,32.5834,0.352157,193,1
814,82.4482,0.269927,381,1
815,30.2583,0.202187,29,0
816,32.1946,0.153373,486,1
817,19.0891,0.295713,120,0
818,46.253,0.180911,352,1
819,60.2332,0.183344,397,0
820,21.1573,0.614505,7,0
821,31.3827,0.259499,258,1
822,97.2992,0.883741,477,1
823,16.1898,0.31201,49,0
824,49.2464,0.381209,14,0
825,48.4943,0.535909,446,1
826,47.6875,0.397967,303,1
827,39.1026,0.928806,88,0
828,17.1307,0.958408,23,0
829,7.6129,0.502362,161,0
830,58.838,0.69989,128,1
831,55.5426,0.476093,347,0
832,25.7856,0.279878,44,1
833,58.0216,0.05334,382,0
834,62.6576,0.0186,233,0
835,67.1414,0.149811,381,1
836,49.5468,0.948557,210,0
837,31.042,0.502861,345,0
838,0.1806,0.517702,260,0
839,17.8472,0.481171,438,0
840,49.1313,0.464558,393,0
841,98.1924,0.595246,58,0
842,44.7291,0.710499,97,1
843,74.7258,0.011277,94,1
844,4.6584,0.375591,485,1
845,60.1145,0.43392,22,1
846,3.9894,0.61453,54,0
847,39.1244,0.671279,24,0
848,18.0818,0.512337,318,0
849,46.2873,0.761398,13,0
850,10.2628,0.353493,467,0
851,38.7911,0.394393,448,1
852,72.9725,0.761157,108,1
853,91.6786,0.865986,71,0
854,50.4833,0.203307,166,1
855,13.5059,0.247503,448,0
856,26.5958,0.474388,394,1
857,35.1733,0.938427,171,1
858,15.0589,0.407288,396,1
859,94.8921,0.255777,415,1
860,27.0354,0.892355,292,1
861,50.4266,0.000148,103,0
862,91.9537,0.844218,416,0
863,16.1854,0.974939,327,1
864,31.1235,0.300836,1,0
865,66.9284,0.297319,273,0
866,97.2969,0.431198,247,1
867,50.2341,0.7759,334,1
868,71.7902,0.384263,180,1
869,51.431,0.03531,161,1
870,81.087,0.950726,140,0
871,39.2043,0.176191,102,0
872,21.8715,0.708986,62,0
873,84.4474,0.124942,277,0
874,31.0983,0.477514,117,1
875,54.5936,0.804347,375,0
876,31.2194,0.564405,378,1
877,72.615,0.822473,178,0
878,52.6041,0.118844,347,1
