id,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9
sensor_044,47.8,94.5,70.9,91.2,65.3,37.1,59.3,10.0,35.8
sensor_045,48.6,62.1,68.9,51.8,49.8,29.2,52.5,91.0,81.6
sensor_046,25.3,17.6,56.3,66.9,40.1,83.6,77.5,70.5,30.2
sensor_047,27.9,12.2,32.0,52.7,86.4,16.5,47.3,66.6,27.5
sensor_048,72.6,54.4,31.9,69.0,10.5,77.5,79.2,19.6,48.2
sensor_049,25.8,96.1,56.6,14.5,32.4,86.3,51.0,82.0,70.0
sensor_050,98.8,63.5,95.4,90.1,65.1,74.7,55.4,84.7,59.3
sensor_051,90.7,76.9,52.7,33.3,32.2,67.3,78.8,56.9,66.3
sensor_052,34.7,17.0,35.7,34.4,38.7,58.6,22.4,30.8,72.4
sensor_053,73.5,15.8,46.6,58.8,47.4,28.6,47.8,91.3,62.5
sensor_054,72.5,87.0,78.8,44.2,10.5,41.6,77.7,86.7,95.7
sensor_055,47.7,77.2,59.1,64.2,29.8,29.7,49.2,12.6,40.2
sensor_056,71.1,46.3,24.8,52.0,21.5,65.9,12.4,45.4,60.7
sensor_057,12.4,67.8,22.2,51.5,14.5,44.1,29.0,39.4,78.4
sensor_058,44.1,77.6,84.8,32.7,17.4,11.7,58.5,99.9,41.5
sensor_059,68.4,80.2,68.6,77.8,95.4,27.9,11.8,23.7,21.3
sensor_060,70.2,60.7,29.6,72.9,78.9,25.1,64.6,77.2,20.3
sensor_061,83.7,96.7,19.7,12.3,38.0,70.9,96.1,45.7,74.3
sensor_062,16.8,72.1,66.4,19.2,79.4,86.4,64.0,20.9,98.4
sensor_063,80.4,41.2,48.5,43.3,55.5,40.7,86.4,83.9,19.5
sensor_064,96.4,67.1,84.5,73.6,49.2,76.0,96.8,34.3,82.7
sensor_065,58.4,53.5,49.2,75.7,34.1,86.6,84.7,17.8,89.3
sensor_066,31.9,51.8,64.9,44.1,12.6,86.5,26.3,29.1,81.7
sensor_067,40.6,89.1,73.0,34.8,10.9,95.2,17.7,74.7,53.9
sensor_068,78.2,72.1,68.1,54.1,81.3,18.4,29.9,72.2,37.5
sensor_069,62.3,52.5,57.7,48.3,77.1,39.7,73.2,34.4,32.6
sensor_070,20.8,27.3,20.7,58.2,78.5,26.6,29.5,53.5,75.1
sensor_071,97.8,57.2,35.4,19.0,27.5,30.5,26.1,11.3,58.0
sensor_072,34.7,97.6,59.7,72.7,21.4,88.1,54.1,88.5,61.6
sensor_073,52.2,49.6,26.6,14.6,94.6,52.9,83.9,46.0,16.7
sensor_074,66.6,14.8,23.4,60.6,37.3,99.4,20.6,78.7,64.5
sensor_075,81.1,30.3,57.0,50.5,49.8,87.3,99.0,37.5,65.8
sensor_076,64.8,76.5,95.2,28.7,29.0,69.4,24.1,25.6,16.7
sensor_077,10.2,50.5,63.4,36.2,30.8,73.6,73.2,50.8,71.8
sensor_078,93.1,80.8,66.2,69.4,93.9,48.2,59.0,68.2,91.7
sensor_079,84.3,16.4,24.9,37.7,77.3,61.2,35.9,21.2,71.9
sensor_080,72.9,94.7,55.0,54.4,17.2,13.6,48.8,39.0,32.5
sensor_081,18.2,96.5,85.2,61.7,95.5,99.9,70.4,34.2,13.6
sensor_082,78.0,52.3,68.6,92.4,26.3,62.6,67.1,54.2,18.2
sensor_083,41.3,40.0,70.2,87.1,39.6,72.4,35.9,95.0,83.1
sensor_084,59.5,50.9,38.3,39.1,97.2,46.3,56.3,98.8,69.1
sensor_085,58.8,47.2,26.9,42.5,78.0,66.2,78.3,28.3,59.4
sensor_086,93.4,49.4,72.8,20.9,97.5,64.7,31.5,24.2,59.5
sensor_087,59.6,18.4,99.2,92.1,51.5,20.6,84.8,54.8,74.4
sensor_088,55.7,34.6,85.0,98.1,31.9,59.6,44.5,92.9,55.7
sensor_089,89.1,87.7,34.8,81.0,47.3,94.0,55.6,83.8,35.4
sensor_090,36.8,62.8,99.8,54.0,23.4,58.4,41.0,59.6,58.9
sensor_091,50.9,38.9,27.0,72.7,61.4,31.0,79.7,13.9,76.9
sensor_092,73.4,82.9,44.7,69.7,83.8,98.2,54.5,13.3,55.2
sensor_093,63.1,88.2,88.6,49.6,57.3,51.1,74.9,46.9,68.9
sensor_094,23.9,52.2,97.1,40.4,72.3,68.4,86.6,86.6,87.3
sensor_095,44.2,38.5,74.6,78.3,88.4,13.2,16.2,66.7,92.8
sensor_096,99.7,77.1,49.0,18.9,67.0,88.4,49.9,72.4,91.2
sensor_097,14.1,81.6,36.4,43.7,23.1,57.8,60.9,81.2,25.3
sensor_098,17.1,88.3,65.7,31.7,92.1,22.9,51.5,32.8,33.0
sensor_099,10.8,82.3,91.0,70.9,24.2,49.7,41.1,62.8,67.4
sensor_100,48.1,32.5,86.0,27.9,44.6,53.4,31.3,61.4,61.7
sensor_101,99.2,36.5,97.9,69.2,34.7,60.9,71.7,76.9,14.4
sensor_102,64.5,54.7,91.3,35.7,81.8,64.6,41.7,67.2,65.8
sensor_103,70.9,74.8,69.3,85.4,66.5,91.2,68.1,37.8,49.6
sensor_104,62.1,75.8,18.1,36.5,77.2,25.8,21.9,58.5,97.3
sensor_105,57.7,92.1,84.7,33.1,84.1,53.3,82.5,77.1,40.5
sensor_106,20.4,96.6,22.7,96.9,87.3,75.1,98.1,97.0,82.3
sensor_107,42.9,81.1,11.3,58.2,50.9,70.5,70.4,62.6,83.9
sensor_108,94.5,19.7,31.0,12.2,89.5,60.5,92.3,29.9,15.7
sensor_109,84.1,91.8,37.2,46.7,22.6,95.1,37.4,54.3,18.7
sensor_110,89.8,22.2,50.8,70.3,76.8,95.0,47.7,76.7,23.9
sensor_111,47.3,18.9,54.0,46.7,95.5,12.9,43.3,49.9,95.5
sensor_112,86.9,18.9,71.6,58.9,97.9,42.2,45.8,27.1,21.0
sensor_113,86.2,50.9,69.6,67.7,63.7,11.9,80.7,31.9,21.3
sensor_114,60.8,16.2,78.8,28.6,29.4,88.2,39.5,23.3,91.0
sensor_115,10.3,87.2,23.0,21.7,32.5,25.7,69.4,12.3,11.3
sensor_116,81.0,31.4,39.1,25.7,14.7,76.7,57.3,77.0,52.8
sensor_117,79.9,56.1,19.8,55.3,95.0,13.9,80.4,87.9,56.9
sensor_118,51.2,96.7,15.5,53.1,46.1,71.7,54.1,91.8,16.6
sensor_119,17.3,64.7,15.9,34.7,66.9,59.3,39.2,99.4,57.7
sensor_120,50.8,64.4,18.9,73.1,86.7,68.5,79.1,74.8,29.3
sensor_121,50.6,30.5,40.5,50.8,47.4,18.5,48.4,69.8,43.6
sensor_122,23.7,93.0,16.0,84.8,18.4,18.7,76.4,83.0,60.0
sensor_123,62.7,60.5,39.6,21.0,41.8,69.8,77.5,88.0,74.8
sensor_124,97.1,64.0,41.6,62.0,29.1,69.0,30.2,19.7,86.0
sensor_125,43.0,78.6,61.6,82.6,86.0,97.6,83.6,65.2,67.8
sensor_126,12.4,93.5,84.6,34.0,26.2,73.2,37.8,40.6,10.5
sensor_127,88.2,60.9,46.0,22.8,66.9,12.8,77.1,29.3,47.7
sensor_128,40.6,43.3,74.9,79.8,61.0,17.6,14.7,24.2,65.5
sensor_129,70.6,34.5,69.5,53.7,49.7,34.6,77.9,20.2,48.6
sensor_130,35.5,71.0,53.7,70.0,14.1,45.5,63.9,10.7,37.1
sensor_131,29.0,22.3,33.0,39.5,10.7,77.2,25.8,44.2,73.3
sensor_132,55.0,84.9,82.5,16.5,87.5,13.8,11.7,92.8,87.5
sensor_133,61.8,61.5,73.8,47.6,20.4,11.9,39.2,82.0,65.6
sensor_134,84.8,92.7,17.9,85.9,31.9,62.9,57.1,45.6,37.9
sensor_135,40.5,39.9,25.1,55.9,20.3,55.8,91.4,41.4,75.4
sensor_136,83.6,83.3,31.2,23.2,27.7,64.2,78.3,68.9,25.9
sensor_137,79.5,54.4,77.8,78.3,50.4,93.1,60.7,67.1,66.1
sensor_138,87.7,66.4,23.6,16.1,49.8,37.2,34.7,15.0,55.6
sensor_139,37.9,50.6,15.1,84.8,16.9,87.7,86.9,65.3,55.6
sensor_140,51.6,59.8,81.2,90.5,50.4,82.8,68.6,38.9,52.8
sensor_141,23.6,15.6,19.3,90.8,40.9,74.2,55.4,25.5,32.3
sensor_142,49.4,49.5,57.0,24.3,43.5,35.4,46.7,40.4,63.7
sensor_143,81.0,68.2,15.9,18.5,71.0,35.5,75.1,69.0,91.5
sensor_144,88.5,40.0,62.4,22.7,41.4,97.0,72.8,45.2,63.5
sensor_145,94.3,37.8,43.9,81.2,83.1,70.2,84.5,76.4,71.6
sensor_146,57.3,68.1,48.1,42.5,42.6,26.2,29.3,95.2,53.7
sensor_147,30.4,22.4,16.9,85.9,19.1,79.3,85.1,89.4,13.4
sensor_148,40.3,78.9,21.8,43.9,24.6,84.7,79.3,82.7,24.9
sensor_149,49.3,46.9,70.8,31.4,49.9,35.6,77.3,50.4,58.0
sensor_150,37.8,82.7,52.2,85.1,43.1,95.1,98.5,51.5,35.3
sensor_151,44.3,57.4,96.9,83.4,82.0,22.4,32.5,67.6,88.6
sensor_152,59.9,19.2,86.0,86.5,35.6,78.6,34.5,91.4,23.2
sensor_153,49.3,95.1,30.0,50.6,41.4,12.4,14.8,55.1,31.2
sensor_154,99.4,43.7,12.5,93.7,85.4,68.4,81.1,22.4,35.8
sensor_155,84.6,72.6,22.5,73.4,50.3,10.5,17.1,33.0,85.1
sensor_156,59.3,75.4,57.4,20.0,35.9,37.1,14.3,47.7,81.4
sensor_157,51.1,20.0,91.4,63.6,11.5,56.3,31.8,22.9,48.6
sensor_158,65.3,31.6,47.4,69.7,17.7,97.6,16.1,57.3,55.6
sensor_159,98.9,59.8,45.1,52.3,67.1,98.2,32.8,11.5,80.9
sensor_160,41.0,75.9,66.5,79.4,76.1,39.9,14.0,59.1,83.1
sensor_161,25.7,80.0,51.8,72.5,66.8,83.0,15.7,79.8,51.1
sensor_162,36.4,13.9,27.9,13.8,93.9,56.3,98.9,58.8,32.8
sensor_163,77.7,27.2,42.1,80.2,87.8,39.8,21.2,43.1,90.0
sensor_164,76.8,90.4,44.8,97.5,54.6,54.7,93.1,56.7,82.0
sensor_165,75.4,17.1,64.2,83.9,59.0,38.9,17.2,69.4,37.6
sensor_166,64.2,48.3,72.0,41.6,13.8,88.2,41.7,99.7,34.7
sensor_167,98.1,95.2,16.7,67.3,42.7,82.0,71.1,95.7,22.8
sensor_168,64.6,80.2,13.1,16.0,80.0,42.9,44.4,61.0,64.4
sensor_169,71.0,95.3,43.4,78.6,61.6,57.6,45.8,68.4,32.4
sensor_170,20.2,76.1,54.9,44.8,60.5,33.5,33.4,50.1,99.6
sensor_171,35.7,92.4,54.2,21.0,86.7,50.6,90.8,50.0,17.9
sensor_172,71.3,86.0,38.7,41.2,15.8,58.7,90.1,86.5,74.0
sensor_173,93.4,67.3,81.4,55.7,20.9,28.1,22.5,81.1,12.4
sensor_174,59.8,43.2,82.2,59.6,65.0,17.8,37.8,99.9,74.6
sensor_175,57.3,79.1,84.0,16.6,97.4,67.7,50.5,71.1,41.0
sensor_176,88.9,80.1,67.5,26.4,96.9,48.9,91.9,15.0,21.2
sensor_177,23.8,24.8,39.0,73.8,41.1,94.6,90.5,86.0,32.5
sensor_178,67.1,59.5,21.3,37.2,58.0,55.2,25.2,94.7,23.9
sensor_179,69.2,74.8,64.4,85.7,60.7,84.2,12.6,14.1,67.7
sensor_180,61.9,68.5,78.9,47.5,67.4,54.8,66.4,36.0,96.0
sensor_181,53.4,82.3,71.6,36.7,16.6,15.4,49.5,53.5,28.3
sensor_182,64.5,38.1,74.6,76.0,87.4,97.7,21.8,43.3,60.5
sensor_183,38.7,51.9,34.0,32.3,18.7,36.1,44.5,65.3,32.3
sensor_184,87.8,24.4,39.4,61.9,38.1,78.6,54.8,56.3,54.8
sensor_185,37.7,12.1,95.0,55.4,96.9,29.3,41.7,14.5,54.5
sensor_186,89.3,68.8,52.3,58.2,86.2,48.7,89.3,75.4,78.7
sensor_187,42.9,46.0,61.3,27.5,59.7,16.6,55.3,78.7,35.1
sensor_188,98.9,71.2,20.7,97.7,45.4,81.5,40.5,94.4,77.9
sensor_189,27.9,55.8,55.0,14.1,22.3,39.9,52.6,51.1,64.5
sensor_190,56.3,39.5,65.1,24.6,99.1,76.5,36.9,40.2,84.5
sensor_191,57.9,73.7,37.0,83.3,43.1,70.6,98.1,62.5,81.6
sensor_192,75.2,71.9,12.4,52.7,96.9,80.4,79.8,61.9,74.9
sensor_193,62.5,25.3,66.5,65.7,85.6,23.3,71.2,12.8,95.2
sensor_194,19.9,11.7,38.2,23.6,72.1,46.9,79.7,92.8,88.5
sensor_195,76.2,15.6,22.4,28.6,39.2,69.5,57.2,38.2,25.6
sensor_196,92.0,40.8,41.9,79.4,74.8,67.8,72.3,64.8,27.3
sensor_197,32.2,60.2,30.2,97.5,36.8,36.0,28.6,73.4,38.5
sensor_198,41.4,93.9,81.5,34.6,21.0,70.8,44.1,98.1,83.6
sensor_199,95.8,82.3,36.1,35.9,74.2,41.1,49.8,33.1,53.1
sensor_200,28.2,58.4,93.9,72.6,22.3,65.3,62.8,31.8,70.2
sensor_201,57.7,67.4,14.7,47.2,74.5,19.0,79.3,10.5,59.5
sensor_202,93.5,46.6,94.1,89.0,52.9,27.9,96.7,38.9,68.1
sensor_203,91.6,18.0,61.6,58.1,75.0,94.2,92.1,25.7,89.3
sensor_204,25.8,92.7,99.6,45.7,54.5,94.2,96.5,93.3,88.8
sensor_205,10.8,61.1,19.6,98.4,35.6,98.9,58.8,54.4,94.4
sensor_206,86.5,52.1,27.3,20.1,24.6,51.3,33.1,26.7,76.2
sensor_207,81.1,61.0,78.1,25.8,87.0,90.6,84.3,56.3,17.8
sensor_208,70.2,26.6,22.6,39.1,32.3,33.4,31.2,77.8,95.8
sensor_209,37.1,75.0,11.0,68.8,72.3,15.6,20.6,37.6,46.4
sensor_210,55.2,90.5,73.2,38.0,20.6,92.4,36.5,65.3,29.7
sensor_211,22.0,23.8,77.2,64.5,47.4,59.4,52.3,58.3,69.7
sensor_212,29.6,32.2,77.9,88.5,17.4,50.2,73.3,17.0,60.7
sensor_213,15.6,59.2,55.4,61.5,23.5,39.5,56.8,20.4,28.5
sensor_214,62.4,18.2,55.9,82.7,50.8,56.1,51.1,15.2,51.6
sensor_215,82.5,75.0,45.6,83.4,77.0,62.0,14.1,41.0,15.7
sensor_216,99.4,94.0,16.2,93.9,12.9,46.8,79.1,78.8,98.0
sensor_217,68.1,47.8,99.3,44.4,88.2,91.5,43.8,71.4,69.5
sensor_218,58.5,68.8,41.3,26.0,58.3,57.5,75.4,30.0,10.3
sensor_219,12.0,36.8,70.5,58.9,57.8,84.0,32.3,41.1,34.8
sensor_220,94.3,75.2,20.1,82.8,47.7,78.9,89.4,11.4,28.5
sensor_221,19.1,13.0,63.7,73.2,14.4,76.6,46.2,31.1,29.5
sensor_222,87.6,15.1,55.3,36.0,83.3,75.8,38.7,63.8,70.5
sensor_223,38.8,37.1,22.9,69.4,29.9,37.0,15.5,95.3,89.1
sensor_224,92.0,66.3,48.4,54.6,97.4,94.6,70.4,80.6,38.7
sensor_225,47.4,23.4,43.8,77.8,52.6,86.4,37.0,73.6,82.4
sensor_226,92.2,60.6,97.0,60.1,22.1,31.8,28.3,68.1,92.9
sensor_227,86.2,18.3,75.1,27.1,34.1,70.6,64.2,88.5,26.9
sensor_228,78.5,75.1,60.2,53.1,88.2,39.9,96.0,11.4,94.3
sensor_229,96.5,20.5,99.9,53.1,31.8,64.3,28.4,92.3,59.6
sensor_230,79.7,44.2,58.0,42.3,33.5,56.1,54.7,18.9,98.2
sensor_231,52.2,85.5,92.2,43.3,47.2,60.6,29.9,23.1,33.4
sensor_232,94.0,62.1,47.5,23.7,39.7,44.1,84.9,54.9,68.8
sensor_233,71.6,33.1,83.9,96.9,67.7,54.1,25.1,81.5,25.2
sensor_234,74.8,53.9,92.4,58.7,67.7,15.3,13.0,86.1,95.0
sensor_235,70.1,78.7,47.1,85.7,30.8,73.6,10.8,55.5,43.6
sensor_236,65.5,69.9,65.4,53.4,53.9,10.6,59.6,11.1,57.6
sensor_237,34.7,97.9,11.5,83.1,70.6,82.5,91.8,19.6,18.7
sensor_238,23.4,27.3,57.3,83.3,34.0,45.7,43.5,46.5,60.8
sensor_239,99.0,30.3,71.5,86.2,68.8,87.2,78.3,18.4,44.1
sensor_240,59.7,15.0,10.8,25.4,54.9,49.0,80.5,60.9,87.1
sensor_241,18.6,57.5,13.8,29.0,88.0,89.8,52.7,14.2,16.7
sensor_242,93.2,90.8,60.7,13.0,93.5,38.3,96.4,62.8,77.6
sensor_243,74.1,45.8,16.9,24.6,31.6,85.0,45.0,90.6,39.8
sensor_244,77.9,22.6,98.9,75.1,55.0,97.6,14.8,49.3,85.4
sensor_245,40.6,79.1,95.8,45.7,79.5,12.7,34.6,99.2,54.1
sensor_246,42.0,94.6,48.8,71.1,69.4,17.7,65.6,81.7,74.1
sensor_247,17.4,23.9,74.0,67.0,76.5,38.5,19.6,10.5,37.7
sensor_248,42.4,34.3,21.9,26.8,50.4,59.9,46.7,12.4,41.8
sensor_249,18.4,63.8,39.2,44.6,36.2,44.9,17.6,91.0,91.4
sensor_250,97.9,61.4,25.2,44.2,22.5,37.1,54.3,15.7,49.1
sensor_251,47.9,53.5,16.9,32.6,32.2,66.2,63.4,27.6,19.6
sensor_252,37.4,95.3,39.9,65.8,82.3,39.6,40.1,83.3,87.3
sensor_253,97.6,22.2,38.8,95.2,28.1,38.2,96.7,97.1,36.2
sensor_254,72.5,54.1,61.8,31.8,43.8,83.4,45.3,20.2,60.7
sensor_255,63.2,59.1,71.3,59.5,95.7,51.5,73.7,49.4,36.2
sensor_256,72.3,83.6,81.5,46.8,54.9,66.9,31.8,69.2,74.3
sensor_257,80.9,16.6,99.1,53.1,46.0,55.5,92.7,72.2,58.9
sensor_258,81.1,42.3,90.5,58.3,67.4,17.6,79.1,69.1,41.9
sensor_259,68.2,14.0,98.4,70.9,45.9,77.7,96.8,48.7,10.9
sensor_260,33.3,55.9,56.6,62.2,61.7,50.1,45.2,79.4,62.9
sensor_261,55.0,41.0,12.2,19.4,47.4,96.5,20.4,94.6,22.7
sensor_262,38.0,50.9,28.6,53.4,52.8,49.4,72.6,38.7,37.0
sensor_263,82.8,20.3,86.3,68.3,70.9,24.8,98.5,31.9,25.7
sensor_264,24.4,60.3,96.2,30.8,46.4,26.6,67.6,48.8,12.6
sensor_265,65.2,27.7,63.2,45.0,73.4,28.5,77.6,82.7,15.6
sensor_266,19.1,88.4,26.8,39.3,51.1,33.6,87.6,57.4,67.5
sensor_267,63.7,65.0,62.8,41.3,86.0,65.5,83.2,73.5,36.7
sensor_268,65.2,17.6,22.0,20.6,37.5,26.5,72.3,55.9,47.6
sensor_269,22.4,44.5,26.7,67.1,72.3,68.0,99.9,59.9,54.0
sensor_270,22.6,38.3,50.5,14.8,42.3,10.9,22.3,83.3,96.6
sensor_271,55.4,54.5,71.6,47.4,85.5,53.9,17.4,12.8,78.4
sensor_272,36.3,34.7,58.3,25.1,51.1,76.8,78.9,59.4,20.2
sensor_273,20.3,79.7,84.0,43.0,84.0,13.7,74.6,59.1,99.0
sensor_274,19.2,84.6,77.5,36.8,99.8,50.4,41.3,83.4,49.5
sensor_275,99.4,79.7,31.3,82.9,62.9,41.5,73.9,66.9,24.9
sensor_276,22.5,28.6,28.6,15.3,41.5,35.3,58.4,39.1,73.3
sensor_277,36.0,34.0,87.1,98.6,71.1,18.6,96.6,80.6,92.6
sensor_278,99.2,87.9,21.4,87.9,32.4,74.0,84.5,78.5,70.8
sensor_279,54.0,61.9,34.2,47.2,50.6,67.0,89.1,18.4,56.4
sensor_280,35.0,94.2,43.2,95.4,39.4,10.2,79.6,75.9,75.7
sensor_281,51.2,69.7,42.2,15.7,58.0,29.6,48.6,29.0,34.1
sensor_282,84.5,40.4,62.0,60.9,53.6,40.9,71.4,14.4,19.0
sensor_283,80.5,51.3,21.2,87.1,49.7,10.1,96.1,28.2,71.9
sensor_284,21.9,68.4,24.3,93.9,34.6,68.8,32.5,43.4,91.3
sensor_285,24.9,45.6,37.5,72.9,31.0,68.9,73.3,10.1,52.9
sensor_286,21.9,30.3,71.1,10.8,72.5,83.5,98.8,48.0,21.9
sensor_287,16.4,44.4,75.7,19.2,38.2,89.2,22.3,79.5,77.7
sensor_288,22.0,99.3,22.8,57.7,10.8,68.4,49.6,74.9,66.5
sensor_289,23.6,47.0,71.7,87.3,17.8,19.0,77.6,63.0,44.5
sensor_290,96.6,38.3,22.6,34.9,17.6,59.8,63.9,64.6,80.0
sensor_291,72.1,86.2,69.2,37.1,56.5,55.8,77.2,36.6,14.9
sensor_292,90.7,95.8,54.5,20.1,54.9,63.4,57.5,97.9,98.7
sensor_293,94.0,21.9,87.4,61.1,42.9,71.4,78.6,95.8,79.3
sensor_294,11.5,16.1,33.6,13.6,15.4,81.0,55.5,66.5,55.0
sensor_295,47.3,73.1,17.4,58.2,65.4,34.9,37.9,56.0,28.3
sensor_296,82.6,58.2,45.1,67.0,85.0,71.2,15.9,72.8,75.6
sensor_297,86.1,15.2,17.8,49.1,50.8,64.7,37.8,76.7,76.6
sensor_298,20.7,73.6,73.1,24.7,95.7,57.0,80.4,74.8,25.0
sensor_299,21.4,80.2,34.2,89.7,79.4,12.6,82.6,34.5,15.7
sensor_300,74.0,61.8,16.9,50.9,42.4,54.9,61.0,43.1,32.9
sensor_301,19.3,61.6,75.0,30.5,55.7,14.0,87.6,32.0,52.4
sensor_302,44.4,23.5,93.7,87.1,59.7,92.2,76.6,47.7,38.9
sensor_303,47.4,74.8,34.4,17.0,43.5,55.1,91.1,26.1,82.3
sensor_304,98.2,95.8,16.2,51.8,35.4,86.0,39.4,59.7,10.7
sensor_305,28.0,60.7,37.3,66.0,51.7,63.2,54.4,79.5,27.6
sensor_306,90.9,78.4,32.0,10.6,46.9,30.9,41.1,85.5,88.9
sensor_307,95.5,10.1,69.1,86.3,75.4,19.3,57.6,31.4,54.2
sensor_308,15.4,99.6,74.0,18.4,92.8,90.7,56.7,73.0,43.5
sensor_309,97.6,17.6,18.6,22.0,83.7,16.7,61.0,49.1,96.7
sensor_310,31.3,33.5,38.3,82.0,73.0,76.1,38.6,34.4,16.7
sensor_311,28.2,80.1,62.6,24.0,24.8,51.9,46.5,58.2,96.7
sensor_312,28.7,37.7,33.8,20.8,24.2,71.7,84.3,72.6,13.6
sensor_313,85.1,39.5,18.2,32.3,42.0,56.2,70.9,33.4,99.1
sensor_314,12.8,46.4,50.7,77.3,32.5,51.5,82.3,22.6,11.1
sensor_315,84.7,98.3,21.8,84.0,43.5,66.7,68.0,62.4,33.3
sensor_316,83.1,12.0,15.8,91.1,49.9,21.6,91.4,84.6,39.8
sensor_317,13.8,51.4,25.1,61.6,83.9,45.5,12.7,71.4,25.5
sensor_318,29.3,26.8,35.2,89.4,13.1,65.7,32.1,36.5,47.0
sensor_319,59.5,15.5,35.2,22.3,27.9,89.5,57.3,66.7,82.1
sensor_320,81.5,98.9,80.3,42.3,59.0,53.6,92.0,55.2,44.9
sensor_321,26.2,38.7,29.7,90.5,80.0,15.3,99.1,57.6,78.9
sensor_322,99.9,97.6,19.0,69.1,34.0,83.4,92.5,15.0,99.6
sensor_323,29.7,86.1,81.7,41.9,85.4,86.0,25.8,63.3,82.5
sensor_324,72.7,92.2,12.5,73.0,95.2,60.7,60.6,26.9,98.8
sensor_325,89.3,54.3,37.8,54.1,18.1,30.9,29.7,57.3,10.1
sensor_326,92.5,28.1,21.7,74.5,92.6,85.9,39.1,12.0,62.7
sensor_327,92.5,79.6,86.1,87.4,96.4,43.6,94.7,45.6,19.1
sensor_328,37.1,22.3,24.2,95.3,81.2,96.4,68.4,25.7,97.1
sensor_329,72.4,93.5,80.8,30.1,62.9,25.8,37.6,71.9,21.4
sensor_330,75.5,95.3,95.3,45.2,99.4,96.8,12.9,64.2,92.8
