sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,failure
229.9915,4.343,19.8388,10.7321,43.6716,163.0339,32.1386,15.1583,14.7722,70.5228,56.7128,16.6323,12.9063,13.6277,-0.4651,191.7634,0.2291,50.1209,46.6926,44.0306,155.3923,2.5951,5.3716,11.2841,40.9979,0
219.0989,46.9204,41.1448,7.5659,69.5666,235.0146,11.1655,11.8605,7.7321,31.6661,51.797,5.6927,11.1009,10.2526,11.639,150.3986,49.7426,43.7504,32.202,63.3748,222.6211,19.4001,7.668,10.7562,79.6143,0
194.7504,-12.5159,39.011,12.9258,52.4172,182.3369,51.3509,12.8895,8.3738,91.2829,42.3924,21.0863,10.555,9.9862,31.6481,221.7251,17.7611,19.6085,19.6822,58.7572,209.8899,13.8939,7.9765,11.0421,84.5304,0
174.1874,-26.2794,39.1382,6.4703,41.4334,176.7678,61.814,8.6898,7.9853,56.5929,49.8407,26.1965,7.2413,7.8208,38.1204,186.0454,29.886,37.2043,43.6658,62.0891,178.9851,15.9182,5.6922,12.224,90.3404,0
164.1319,-19.1067,15.2824,11.4348,60.5863,213.4614,29.882,8.1357,12.52,97.149,63.7878,49.3494,7.0768,9.7549,52.3719,145.9809,24.6559,53.094,53.0819,14.0757,250.9831,46.65,13.0726,6.2925,97.9942,0
209.628,29.0682,19.2153,13.7065,51.6249,179.1114,14.1403,5.1913,7.174,94.0292,50.3427,32.6877,12.8769,7.439,37.3137,189.2263,-43.6783,60.7174,24.5125,40.8296,246.3191,-19.5635,15.5831,8.6448,88.7259,0
200.6284,-4.6356,67.1012,5.6583,28.4202,224.0365,80.845,12.5636,12.8264,40.8116,60.1352,84.419,10.5892,3.1037,83.5409,208.4424,18.568,44.5897,84.3345,39.814,196.076,-31.0191,14.1907,14.0437,45.4717,1
174.5489,-47.8643,17.4221,10.5136,39.0904,189.6074,28.2142,10.1944,7.9652,21.5951,45.9841,35.9713,10.1833,9.8677,34.2245,186.9701,-37.0008,60.0794,45.7027,2.578,252.7695,-26.2068,10.4941,9.17,5.2399,0
216.6053,2.6086,29.6283,6.5893,42.8164,198.8022,1.0687,9.8255,15.0524,86.6981,57.0588,0.1242,12.0159,13.1786,35.1104,162.7826,-0.9731,63.2332,34.4097,60.8297,205.4861,-43.4318,9.335,14.1958,54.8356,0
236.8731,-4.6285,29.502,8.9188,45.7835,226.1971,16.0968,10.5697,5.2415,21.5023,51.8386,40.8185,7.0204,10.8962,40.4665,217.8032,16.5108,69.5064,52.2451,6.7133,206.5232,-40.3436,8.8441,9.6143,55.6371,0
145.3074,6.1586,27.06,11.344,37.3267,156.9311,42.9582,6.4663,13.9836,35.1646,45.9923,34.071,14.2674,10.2313,35.6683,216.1975,26.2606,38.143,38.1548,97.4547,145.7601,31.8427,6.7461,7.1827,2.6254,0
211.332,-31.9584,21.6883,9.2447,37.669,260.5401,30.9295,7.2236,8.7711,14.1875,74.3779,33.8038,10.6803,13.0557,23.7637,224.2641,22.1596,44.2407,27.9164,5.2609,222.8648,17.3969,13.4765,9.3884,48.5662,0
243.7578,-22.6833,30.1832,8.5259,45.3139,244.2114,12.2638,10.3733,12.8872,59.9325,,33.3881,9.3439,11.9597,35.9986,217.4994,-17.1878,,29.8601,38.0207,181.3543,20.3671,4.3208,9.9906,80.62,0
205.6974,-48.1258,72.7555,15.2541,35.8066,157.7575,68.0029,8.71,10.7337,2.0857,56.5959,61.8396,13.3213,4.1365,91.4096,230.436,-25.6684,35.1135,73.4944,31.0275,185.6012,-33.1867,12.2843,8.527,50.9952,1
199.0283,-15.0625,26.8574,4.5096,50.7274,216.8197,35.3013,13.8529,10.2809,17.7146,28.1462,9.9035,10.1858,10.2031,16.9254,234.3714,13.5298,41.1281,41.0883,15.0957,168.2553,-43.1714,7.618,10.9051,27.4674,0
174.1629,-4.8086,74.6027,15.3056,59.908,238.8,60.1899,7.3235,7.6401,46.2712,58.2871,54.4595,4.8045,11.6977,69.9054,178.4445,-2.4371,56.4886,76.7719,89.9127,173.6943,0.4549,13.9537,11.0585,43.7758,1
220.0095,2.2748,36.2882,12.4345,38.5458,214.7879,12.7047,6.9455,9.3337,9.4506,45.5744,25.9019,14.7016,6.3835,8.2572,218.8962,8.274,40.3454,11.5477,69.848,263.6442,-10.8042,4.1497,6.0219,30.9582,0
214.2211,17.0116,8.7679,12.3399,28.3853,157.3572,27.1451,7.4796,11.3162,36.2598,58.1285,58.414,7.8577,10.1853,33.1218,209.1455,34.4428,53.7248,7.4113,88.3682,226.4258,26.6308,10.6388,11.9829,16.2247,0
221.3961,27.1098,32.6172,8.3179,30.9113,223.9401,31.018,13.2415,8.9148,44.8928,74.3262,22.0346,15.0791,4.4116,34.4077,150.9264,48.444,76.8498,27.6659,52.746,228.8419,46.6268,12.2004,5.0764,13.8399,0
161.4181,5.4541,11.0611,14.6377,67.4309,188.8736,49.8738,9.0704,16.447,14.7349,60.0326,27.1907,7.3476,10.8411,33.9145,201.6554,0.2007,64.5323,29.5999,2.8188,252.0209,14.9961,7.585,10.4197,28.6879,0
184.2249,19.6072,42.0703,13.5918,56.0912,200.4021,29.1524,15.6907,5.3898,52.7772,42.7013,27.5912,12.4672,12.9906,33.7007,209.0307,-38.9142,34.0471,28.2066,51.5376,196.8809,-25.8062,11.9697,12.4929,61.481,0
161.6229,-41.4386,38.8756,11.1089,49.1095,110.5876,28.3522,7.186,9.0038,47.0135,61.3927,28.909,15.2607,10.5387,19.0595,240.3537,12.8257,48.7465,19.2568,4.4336,147.3012,-32.4911,8.4325,10.6106,69.5389,0
167.0254,31.1498,49.1529,12.0045,48.7897,208.647,31.0962,10.8339,13.2991,98.9123,42.6603,29.582,15.0181,11.0196,40.5137,211.5786,-16.8075,20.4997,12.9886,74.3308,246.4331,39.4637,3.874,15.2893,49.6203,0
232.2809,30.1148,23.3502,9.8254,43.9804,216.5404,16.4606,9.4697,11.105,66.0919,37.3657,22.399,8.9682,7.4053,53.3884,215.9387,-14.7441,43.5511,63.1729,94.7904,238.0752,-13.6689,11.9413,11.4279,95.2789,0
157.0609,10.7573,75.5203,9.2169,52.5535,171.8021,65.4077,12.6068,6.4278,94.8824,36.1286,76.0727,6.0945,7.0291,73.1457,186.5858,-38.6551,40.8218,65.1071,56.1673,200.1783,-23.8223,9.7893,13.255,99.6365,1
230.182,-37.7363,23.0108,11.9811,36.8631,187.8967,31.7392,7.595,4.7241,31.9588,67.2109,35.952,14.5445,6.3041,23.4694,133.2722,13.77,42.3812,29.6643,20.098,234.0912,-47.3716,14.0622,7.2858,80.3662,0
190.4163,11.1948,38.8453,11.3307,46.4393,164.0568,32.684,4.4544,17.1901,64.2339,67.9637,25.3108,7.5043,13.761,15.5055,187.8612,46.6265,42.6826,33.4308,12.4161,194.6105,-34.6985,11.3529,12.2764,70.9332,0
259.3434,34.5934,20.7573,9.9838,71.2979,217.9987,37.2149,6.5328,9.2597,16.8636,62.4551,44.5032,9.2496,5.9797,38.4869,167.713,32.5236,,46.4908,57.6771,212.1074,15.113,10.3312,6.9033,63.8991,0
182.6952,45.665,22.8873,4.6092,52.8995,196.5706,34.4655,13.0026,11.1869,48.4251,39.8217,23.5468,9.0356,5.2125,50.9416,137.3407,-36.9234,37.8229,26.0256,46.6473,197.519,-40.3188,12.251,9.2616,61.5377,0
228.6012,36.5308,35.744,12.2534,40.226,247.0133,15.5705,10.0393,7.423,2.3176,50.1004,-1.2821,9.7324,10.6081,40.9286,233.3094,38.2339,55.474,15.3681,84.7172,206.8383,-6.9072,13.5772,6.7432,76.3857,0
168.3718,-30.5345,39.1212,8.8925,48.0759,202.1965,20.3188,14.5206,9.6896,11.8811,29.0158,43.2078,6.2332,16.0116,30.2494,180.0212,0.9123,57.8161,31.8296,33.3041,167.2971,10.6261,10.5444,7.338,61.3068,0
197.3983,49.0616,29.3214,7.4758,58.7346,167.3986,27.4029,7.5519,11.1545,67.3806,36.831,11.4733,7.3116,9.2929,11.9033,233.5599,46.7071,52.836,32.5782,72.14,161.1432,8.3523,12.0234,13.7088,61.9736,0
227.156,-46.8429,44.5197,11.3716,,195.3718,27.3208,11.5834,8.8738,77.4972,35.6467,43.6541,6.4916,11.5118,32.4951,207.0448,16.2227,62.8256,27.1142,91.2124,217.037,-15.7673,6.8566,14.0902,72.0925,0
185.6432,-30.7736,14.5643,10.0838,69.1654,224.8525,28.2914,9.5039,11.9837,70.4988,29.6734,52.7394,10.6749,7.699,42.9981,231.2432,-12.0306,65.5384,2.8688,80.4616,193.7873,21.4141,12.3914,8.1546,25.6444,0
226.6603,-29.7932,2.9126,8.3256,63.4948,231.5096,22.3556,8.8399,8.218,63.7945,33.833,13.6847,12.4713,14.1554,42.1635,237.9104,42.91,50.6173,52.6097,47.7449,175.5533,-30.0544,12.573,9.4064,64.5898,0
233.1675,3.5152,38.3566,8.8153,15.2634,228.1486,52.1201,13.0285,16.0174,99.7172,14.7828,30.8174,16.6537,8.3863,31.1705,197.1372,6.7962,62.2054,28.9527,98.9099,166.2752,43.8561,9.0591,11.9993,19.2811,0
172.8641,-33.7506,67.543,10.5907,47.7718,147.1237,59.6754,7.9144,12.6657,89.7043,76.3607,70.7598,9.8775,9.0683,69.413,216.8311,-25.1953,60.2526,76.5209,95.4035,250.0176,-19.8054,9.9228,9.5516,65.3683,1
213.917,-19.3194,32.2905,7.0627,59.9248,192.5508,20.0805,14.9426,14.4926,29.5038,51.5483,36.3053,12.8454,14.0859,20.2037,180.8202,4.9235,28.4561,25.8602,21.8412,200.801,37.3135,15.0291,12.8418,70.3766,0
216.0604,6.4169,86.6595,11.4298,42.3291,192.46,69.2864,13.2072,11.5155,58.3148,56.7859,56.8514,9.6446,6.553,78.4612,190.0325,-3.7622,51.387,73.3222,81.6453,170.3009,24.5804,9.195,9.5685,34.4529,1
270.0133,-43.0981,74.1379,10.6969,48.4602,206.0791,58.0816,14.2828,9.4133,42.0362,27.6077,88.5871,12.4263,8.3902,68.96,159.7131,3.93,44.5787,80.124,53.7258,152.3924,-27.731,9.1277,10.6432,29.8363,1
200.1404,4.4445,8.1035,8.8867,43.1565,219.8275,47.8109,8.1527,14.1464,41.9241,67.7844,31.5875,9.6446,10.377,35.3251,239.5916,20.3286,,33.3915,74.0541,182.0821,-28.2731,11.2632,10.6701,50.3896,0
192.2754,31.5786,28.7814,7.3885,43.8301,176.683,27.8677,11.5808,8.8662,30.0501,41.0406,53.4164,8.0375,13.5746,21.1234,168.5089,47.229,57.7504,20.0075,31.8734,153.6373,-8.3675,11.7255,12.3505,75.4416,0
214.8301,20.7577,21.7637,12.2855,18.7376,237.5157,26.9205,11.4894,11.6701,20.3337,75.6694,19.0817,14.0273,12.6441,33.4662,222.0816,17.3672,56.7889,24.4739,76.1696,193.8305,-2.0606,6.2119,11.8416,95.702,0
180.259,43.716,79.8546,9.6463,38.916,202.9533,69.6393,8.7622,13.2742,77.5514,40.3357,65.7747,9.406,9.7389,86.961,186.332,48.1318,50.1169,86.847,37.0705,143.7869,-8.607,8.0399,9.1877,14.5923,1
236.1994,-8.2422,23.7079,11.5447,60.9761,217.649,17.7776,7.4282,6.2357,25.7327,71.017,26.4087,8.1823,10.1075,32.0378,182.4544,22.0314,66.251,22.5193,64.1809,207.3401,34.6697,10.2839,14.1947,76.4339,0
184.9543,34.2545,32.189,14.6698,,171.0217,29.5823,6.7168,6.9999,61.6519,48.2772,30.1054,9.5609,9.8523,20.5455,195.5807,47.7479,,36.9444,80.6168,158.5715,40.9773,11.0563,10.841,14.8897,0
145.6291,-23.2675,26.3511,7.6884,58.7469,116.2293,15.4991,10.6882,14.5017,84.7867,65.9243,14.245,12.4385,11.6238,26.1433,196.6852,-49.055,33.9984,30.0114,78.4376,145.7319,-40.4638,7.6168,9.1291,21.1417,0
198.4428,38.7554,26.3381,10.142,78.6917,171.0268,27.1398,9.6985,12.3502,96.1469,44.3587,30.2685,5.2622,9.0364,32.8638,211.632,33.4651,59.4842,38.5762,75.5609,183.6959,-36.0049,14.8023,9.6517,50.0793,0
230.348,33.8675,34.2584,7.232,71.6301,158.8079,42.5007,12.3559,10.4437,99.2586,27.974,52.4791,5.8819,11.8798,27.2964,189.2493,11.8616,48.5742,25.1677,15.4221,189.8581,23.9655,5.8698,9.4207,0.5195,0
213.0091,-14.0083,29.2074,11.5873,31.896,212.0562,27.6809,10.378,9.1944,59.8044,55.2664,22.512,11.6454,9.0387,33.2716,252.957,47.8173,31.0495,35.6866,13.884,225.6999,-19.8869,8.9164,10.0468,43.4676,0
188.0558,-24.83,30.4749,10.09,71.005,204.7877,35.3774,7.537,16.8875,33.2217,54.4702,19.8831,7.2003,14.752,50.613,137.3147,-36.3876,59.4985,27.3865,31.4183,277.0258,-20.8552,8.2566,8.8181,57.5879,0
167.1992,-12.3945,34.8647,7.2605,31.5037,184.3081,12.5834,8.7163,2.9457,46.1622,38.5153,20.7766,10.9389,8.0504,9.2299,208.7079,-0.0697,35.2412,30.8817,71.5236,243.931,28.9077,18.2029,14.1126,47.9235,0
132.5663,19.1709,28.8786,4.8923,42.8155,229.4851,20.911,9.183,9.0351,76.8954,36.7316,43.6828,18.2711,12.3634,24.6653,172.7884,25.2683,48.0208,30.7395,25.8738,163.7961,8.0518,9.7568,7.0981,39.1134,0
185.1599,8.859,18.9617,9.9919,,224.6385,37.6,11.4473,9.6451,94.0676,43.7308,42.2405,10.9224,13.3199,17.2584,204.8069,19.6763,41.5067,50.7944,11.5085,225.2998,17.7139,6.4798,14.4185,24.3913,0
274.0257,-33.9864,1.8466,7.221,42.076,210.7634,21.8923,7.5348,14.0705,19.7324,53.7755,15.6455,13.0133,11.3746,49.2798,203.8897,-39.8248,44.971,34.1125,45.755,224.5846,-23.7647,12.3889,7.2078,63.9109,0
169.4689,-15.2075,19.7267,12.3485,32.8416,193.1176,20.2998,9.0502,9.1681,13.3948,46.7476,37.1732,8.7517,6.6366,24.3074,208.0302,-11.629,34.8007,16.1199,64.526,238.1716,-1.0358,9.9976,11.6583,45.1001,0
220.122,-14.0961,80.4087,10.0978,67.3422,191.9787,59.814,10.144,5.0458,48.87,64.5174,91.6035,10.9781,9.3713,82.7385,182.2985,-4.2679,47.8687,76.2615,11.3211,162.2919,-38.5793,10.8777,4.4839,36.6862,1
246.1752,4.6353,34.9421,11.3917,49.5524,200.2132,19.9117,13.279,9.9858,34.8577,5.5227,44.3289,10.3538,7.8223,35.9478,162.9233,-14.9369,43.9291,24.6442,13.9235,205.4996,-44.0642,11.9675,8.5573,53.8769,0
219.6442,20.4054,27.6845,12.2944,72.5282,195.8804,55.4372,14.3349,11.4949,99.2486,17.2305,46.812,14.3039,10.0096,48.9181,224.0439,17.6235,27.6293,21.6077,41.4225,188.9038,-4.8008,5.8738,5.4003,9.3095,0
187.5785,-13.0929,57.7219,12.5419,,191.7858,32.9448,5.1825,9.6029,66.4144,33.506,43.6788,11.4374,10.6382,42.4576,205.6324,32.8344,61.5234,16.3146,48.5338,181.7653,-15.626,9.6114,9.1385,9.9575,0
185.0429,35.7652,31.5529,9.8971,50.1989,213.5246,47.5137,12.9374,13.2044,15.8977,46.7117,47.2982,9.9929,12.893,35.94,189.7435,-10.3658,46.5777,21.6734,65.5485,199.5988,-2.3193,9.866,11.4439,67.9983,0
215.9086,19.5597,87.1904,1.847,53.8782,208.4893,62.9792,13.2579,12.0809,88.0989,57.8046,77.4568,5.0362,16.3265,98.3656,223.0023,-49.1525,64.4212,60.1101,62.808,217.6537,-34.8626,6.1155,12.407,85.9963,1
240.4698,8.9574,84.8614,4.2468,75.6734,215.4205,81.1999,13.2878,11.9235,60.0008,54.1584,59.9382,12.5372,6.4088,71.1491,234.3404,0.9523,48.5816,78.2138,89.7913,233.6497,-38.7256,9.0149,5.9723,52.8287,1
200.1056,48.6883,35.8423,9.3562,36.9946,188.082,21.6755,5.3564,14.9369,1.6689,42.7365,29.7383,10.8528,14.9169,37.854,157.8142,0.1049,49.1234,28.5158,53.6565,188.1225,11.6047,9.5563,12.5455,51.1305,0
213.2709,-10.9268,16.1,6.218,28.7414,242.5154,37.5011,9.2706,4.2383,5.7906,34.8911,35.2772,7.9994,8.3696,28.9715,150.7792,-38.0557,47.3077,23.1522,95.3016,148.1061,22.0766,9.2446,10.779,78.1124,0
213.5515,38.6415,30.3932,9.2743,49.2497,210.796,26.31,6.1762,12.9262,36.0124,57.6962,19.5102,8.8281,9.9551,35.5895,157.0345,-27.1596,39.2383,53.0134,24.4551,216.3385,-2.8235,8.7311,11.1476,93.116,0
137.1861,24.0666,21.3332,7.6883,56.4142,195.5704,20.6195,12.5576,11.3622,50.2041,61.6372,49.5745,17.3961,9.1323,42.1843,214.0835,-21.7693,41.1128,43.4687,0.7969,211.7867,-19.6091,13.6803,7.5974,59.1691,0
176.6538,27.2613,38.6671,16.0689,50.0519,203.3921,22.6191,11.1704,6.7317,87.7199,73.5887,47.5612,10.0403,12.8178,14.2809,229.2701,-26.1832,61.1981,67.9961,71.1652,237.5369,-40.6973,15.6332,6.9616,51.9759,0
143.4316,-41.5098,53.352,11.3251,54.5379,234.6427,37.0419,2.8947,13.0757,23.6772,39.2971,49.7834,8.5096,5.3409,26.0351,221.7498,-42.5313,53.7185,14.3719,15.5411,217.2208,-9.3487,12.886,2.4407,20.7636,0
182.6413,-23.4992,35.126,11.2021,60.7012,158.8849,52.0868,11.4299,9.3839,24.8219,55.7923,12.0192,9.6189,9.4144,66.6194,229.9598,-4.7799,52.9633,30.0124,80.3897,233.406,-36.0207,15.6351,10.4242,98.2567,0
212.9274,13.0298,66.3657,7.5641,34.3624,202.4195,73.0615,15.9492,12.5511,44.3431,73.3379,64.4375,9.5655,10.7724,69.1164,204.4145,7.3884,47.1004,76.4995,68.3213,209.7247,-31.2849,11.8453,8.8401,3.4649,1
261.1068,-25.4215,26.542,12.9683,61.2715,209.0862,35.2085,11.5195,12.7437,63.0754,37.8521,40.0627,1.3097,10.5637,18.9073,166.7979,41.2677,45.2314,24.2275,31.8878,212.1879,-28.098,14.1313,6.8271,5.8591,0
149.6784,49.9606,26.2346,11.3597,48.8785,194.2756,51.9712,10.8832,9.4945,99.6392,65.2746,12.38,6.4901,14.5365,34.2068,184.5707,9.252,39.2627,4.8459,2.8207,177.7337,6.3606,3.0641,8.2129,98.8006,0
192.5172,-0.7773,24.9475,13.2466,51.1486,220.9573,29.5624,9.9816,11.7505,13.049,45.0366,50.1944,7.1739,9.7183,32.2608,142.7042,27.4366,32.6643,49.5489,37.3591,141.427,44.1923,8.9028,10.8445,30.1765,0
240.1406,29.1843,95.3705,14.2102,44.6882,245.2533,71.9988,14.7574,7.719,22.3237,55.8048,82.6366,9.4099,8.5496,71.7669,127.5077,44.8698,88.8459,74.0694,3.2383,145.9126,46.7532,5.9449,10.7045,93.6688,1
238.0918,24.5343,77.1416,18.502,54.8589,191.4673,71.3597,5.8585,12.4704,26.5212,39.3364,82.0137,10.9547,10.1182,75.3179,163.2618,46.9102,66.0033,65.2526,54.6024,201.2719,-39.8571,4.0565,10.7702,65.097,1
206.1241,34.5762,34.0063,9.2682,62.6218,216.3648,33.294,6.5477,13.4325,54.7046,66.792,38.8975,7.3968,7.7441,58.1326,213.8719,-33.5003,53.8198,34.6269,20.555,217.0751,22.2038,14.3114,9.7044,28.1523,0
176.6312,-45.0365,9.3281,7.4976,39.8365,224.3122,25.1168,14.2468,8.3817,2.5736,44.1044,28.7114,11.1979,11.4315,21.4329,172.2006,16.104,60.4406,22.6201,88.5493,194.7496,-13.0598,7.7895,10.7837,46.5058,0
198.7548,25.2235,34.2514,9.3706,44.4848,122.9721,21.7893,6.7794,7.9639,84.0797,33.7992,37.2709,12.2818,7.473,40.0455,176.903,-42.1045,46.0603,16.1831,90.0455,214.0689,12.0273,5.7114,13.6734,17.2879,0
234.6185,47.2165,32.2383,8.5457,65.995,197.64,46.8556,9.9277,11.1683,91.0804,39.9954,40.855,11.2153,7.8699,36.4094,194.5572,37.3466,66.3812,19.5568,41.9594,174.5215,-8.5558,12.3845,13.2051,75.8377,0
234.3713,-39.901,22.987,9.1645,68.1035,175.0176,36.2636,5.9058,10.3718,3.7466,62.71,42.9152,9.7075,9.2085,38.2796,182.7828,-26.2421,78.1086,17.7909,2.0233,210.474,-21.9653,7.6758,5.3757,9.8217,0
